SchoolCode,Phase,Type,School,AddressLine1,AddressLine2,AddressLine3,PostCode,X_REF,Y_REF,Telephone,Email,Website,Headteacher,Area,AgeRangeMinimum,AgeRangeMaximum,Nearest,Non Nearest,Priority 1A,Priority 1B,Priority 2,Priority 3,Priority 4,Priority 5,EHCP / Statement,LAC,Nearest Placed,Non Nearest Placed,Placed,SEN,Siblings,Notes
5400,Secondary,Academy,Abbey Grange Church of England,Butcher Hill,,Leeds,LS16 5EA,425647,437660,0113 275 7877,info@abbeygrangeacademy.co.uk,http://www.abbeygrangeschool.co.uk,Ms C Kitson,NW,11,18,,,,,,,,,,,,,,,,
3030,Primary,Community,Aberford Church of England Primary School,School Lane,Aberford,Leeds,LS25 3BU,443232,437054,0113 281 3302,office@aberfordceprimary.org.uk,http://www.aberford.leeds.sch.uk,Ms P Boulding,E,4,11,0.514,,1,,10,,5,,,,,,,,,
2416,Primary,Community,Adel Primary School,Tile Lane,Adel,Leeds,LS16 8DY,428005,439325,0113 230 1116,r.spinks@adelprimary.org.uk,http://www.adelprimary.org.uk,Mrs S Parkinson,NW,3,11,0.957,,1,,13,,16,,,,,,,,,
3902,Primary,Voluntary Aided,Adel St John the Baptist Church of England Primary School,Long Causeway,Adel,Leeds,LS16 8EX,427666,439696,0113 214 1040,info@adel-st-john.leeds.sch.uk,http://www.adel-st-john.leeds.sch.uk,Ms J Turner,NW,4,11,,,,,,,,,,,,,,,,
3909,Primary,Voluntary Aided,All Saints’ Church of England Primary School,Cross Aysgarth Mount,,Leeds,LS9 9AD,431762,433529,0113 214 3056,Headteacher@allsaints-pri.leeds.sch.uk ,http://www.allsaints-pri.leeds.sch.uk,Mr D Pattison,E,3,11,,,,,,,,,,,,,,,,
2507,Primary,Foundation,Allerton Bywater Primary School,Leeds Road,Allerton Bywater,Castleford,WF10 2DR,441632,428057,0113 336 8240,office@allertonbywater.leeds.sch.uk,http://www.allertonbywater.leeds.sch.uk,Mr R Cairns,E,3,11,,,,,,,,,,,,,,,,
3931,Primary,Community,Allerton Church of England Primary School,Lingfield Approach,,Leeds,LS17 7HL,429837,439357.2,0113 293 0699,denise.glazer@allertonceprimary.com,http://allertonceprimary.com,Mrs H Stott,NE,3,11,,,,,,,,,,,,,,,,
4040,Secondary,Community,Allerton Grange School,Talbot Avenue,,Leeds,LS17 6SF,431591,438408,0113 336 8585,agadmin@allertongrange.com,http://www.allertongrange.org,Mr R Whittaker,NE,11,18,,2.006,,,,,,,,,,,6,,92,
4032,Secondary,Community,Allerton High Business and Enterprise Specialist School,King Lane,,Leeds,LS17 7AG,429500,439471,0113 203 4770,info@allertonhigh.org.uk,http://www.allertonhigh.org.uk,Mrs E Silson,NE,11,18,1.072,1.073,,,,,,,,,69,36,,7,86,
2436,Primary,Community,Alwoodley Primary School,Cranmer Rise,,Leeds,LS17 5HX,429305,439464,0113 268 6104,jane.langley@alwoodley.net,http://www.alwoodleyprimary.net/,Miss J Langley,NE,3,11,0.583,,3,,25,,32,,,,,,,,,
